,State,Age Group,Peak,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,Population,LATITUDE,LONGITUDE
132,Delaware,45-54,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,424.0,0.0,0.0,0.0,27.0,0.04002055528108031,455.13131202405145,447.3711374068304,1068615,354.230514,-680.0115149999999
134,Delaware,55-64,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,46.0,975.0,27.0,23.0,0.0,51.0,0.07697823070921005,537.8121068779011,535.3399485883583,1239408,354.230514,-680.0115149999999
136,Delaware,65-74,First,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,106.0,1624.0,142.0,39.0,0.0,216.0,0.1575732576660812,628.7017032353684,622.4666926580306,1015722,354.230514,-680.0115149999999
138,Delaware,75-84,First,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,130.0,1981.0,132.0,38.0,0.0,226.0,0.45200974736362687,716.4350122241195,708.2730938810624,502146,354.230514,-680.0115149999999
140,Delaware,85+,First,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,183.0,2393.0,135.0,53.0,0.0,289.0,0.8278881534934044,765.0,765.0,182286,354.230514,-680.0115149999999
144,District of Columbia,0-24,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.006175738626625389,94.13755500821371,110.77018652181091,1799307,350.19243000000006,-693.130212
146,District of Columbia,25-34,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.008475622435798868,263.33878548872866,265.47360574268356,1466910,350.19243000000006,-693.130212
148,District of Columbia,35-44,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.017712306382600216,356.43641173745647,350.55862113796974,969147,350.19243000000006,-693.130212
150,District of Columbia,45-54,First,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,458.0,65.0,58.0,0.0,65.0,0.04779576519504189,451.3548192077198,444.87904537323135,664092,350.19243000000006,-693.130212
152,District of Columbia,55-64,First,96.0,24.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,78.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1046.0,170.0,110.0,0.0,184.0,0.1155843517743051,539.5334688891116,534.1920020617671,628587,350.19243000000006,-693.130212
